"x","y","n","distinct sides","Elapsed Time (ms)"
128,128,101,103,3
128,256,101,125,10
128,512,101,143,27
128,1024,101,155,62
128,2048,101,167,131
128,4096,101,168,279
128,8192,101,168,714
256,128,101,132,11
256,256,101,140,14
256,512,101,162,53
256,1024,101,169,130
256,2048,101,171,284
256,4096,101,180,726
256,8192,101,183,1617
512,128,101,151,28
512,256,101,164,54
512,512,101,168,72
512,1024,101,179,239
512,2048,101,187,600
512,4096,101,189,1498
512,8192,101,187,3482
1024,128,101,167,63
1024,256,101,179,132
1024,512,101,177,249
1024,1024,101,180,297
1024,2048,101,189,1168
1024,4096,101,194,3284
1024,8192,101,198,7926
2048,128,101,163,146
2048,256,101,177,328
2048,512,101,185,767
2048,1024,101,186,1497
2048,2048,101,190,1782
2048,4096,101,196,7005
2048,8192,101,200,19079
4096,128,101,164,307
4096,256,101,179,682
4096,512,101,192,1937
4096,1024,101,193,4173
4096,2048,101,194,8725
4096,4096,101,196,10377
4096,8192,101,200,38840
8192,128,101,171,643
8192,256,101,182,1671
8192,512,101,193,4931
8192,1024,101,193,12503
8192,2048,101,199,28118
8192,4096,101,201,55914
8192,8192,101,201,60392
128,128,81,94,2
128,256,81,116,9
128,512,81,126,23
128,1024,81,134,52
128,2048,81,137,109
128,4096,81,138,234
128,8192,81,139,566
256,128,81,120,9
256,256,81,116,12
256,512,81,132,46
256,1024,81,138,110
256,2048,81,142,250
256,4096,81,151,578
256,8192,81,153,1461
512,128,81,121,24
512,256,81,130,45
512,512,81,137,64
512,1024,81,147,208
512,2048,81,152,600
512,4096,81,154,1410
512,8192,81,155,3106
1024,128,81,143,57
1024,256,81,149,118
1024,512,81,151,213
1024,1024,81,147,259
1024,2048,81,157,985
1024,4096,81,154,2774
1024,8192,81,158,6669
2048,128,81,141,115
2048,256,81,142,227
2048,512,81,147,491
2048,1024,81,153,1103
2048,2048,81,152,1244
2048,4096,81,160,5721
2048,8192,81,156,15677
4096,128,81,144,287
4096,256,81,154,672
4096,512,81,158,1486
4096,1024,81,157,3607
4096,2048,81,157,7155
4096,4096,81,157,8286
4096,8192,81,160,34445
8192,128,81,143,585
8192,256,81,149,1400
8192,512,81,155,4318
8192,1024,81,160,10287
8192,2048,81,160,27487
8192,4096,81,159,49144
8192,8192,81,160,50613
128,128,61,81,2
128,256,61,93,8
128,512,61,99,18
128,1024,61,109,45
128,2048,61,110,95
128,4096,61,110,203
128,8192,61,110,455
256,128,61,91,8
256,256,61,100,11
256,512,61,106,37
256,1024,61,109,87
256,2048,61,111,187
256,4096,61,113,419
256,8192,61,114,1084
512,128,61,102,19
512,256,61,110,38
512,512,61,113,52
512,1024,61,118,179
512,2048,61,120,416
512,4096,61,117,1020
512,8192,61,117,2505
1024,128,61,109,41
1024,256,61,113,89
1024,512,61,119,172
1024,1024,61,117,204
1024,2048,61,118,747
1024,4096,61,118,1891
1024,8192,61,118,5333
2048,128,61,104,85
2048,256,61,111,194
2048,512,61,114,414
